Fecha,StateName,DaysOnZillow
2018-01-31,AK,
2018-01-31,AL,130.0
2018-01-31,AR,124.0
2018-01-31,AZ,89.0
2018-01-31,CA,61.5
2018-01-31,CO,63.0
2018-01-31,CT,104.5
2018-01-31,DE,124.5
2018-01-31,FL,94.0
2018-01-31,GA,92.5
2018-01-31,HI,105.0
2018-01-31,IA,98.5
2018-01-31,ID,
2018-01-31,IL,125.0
2018-01-31,IN,90.0
2018-01-31,KS,94.0
2018-01-31,KY,98.0
2018-01-31,LA,124.5
2018-01-31,MA,107.0
2018-01-31,MD,115.5
2018-01-31,ME,103.0
2018-01-31,MI,107.5
2018-01-31,MN,111.0
2018-01-31,MO,99.0
2018-01-31,MS,126.0
2018-01-31,MT,
2018-01-31,NC,111.0
2018-01-31,ND,
2018-01-31,NE,70.0
2018-01-31,NH,99.0
2018-01-31,NJ,143.0
2018-01-31,NM,128.5
2018-01-31,NV,69.0
2018-01-31,NY,143.0
2018-01-31,OH,111.5
2018-01-31,OK,119.0
2018-01-31,OR,92.5
2018-01-31,PA,115.0
2018-01-31,RI,97.0
2018-01-31,SC,109.0
2018-01-31,SD,95.0
2018-01-31,TN,92.0
2018-01-31,TX,98.0
2018-01-31,UT,63.0
2018-01-31,VA,108.0
2018-01-31,WA,83.0
2018-01-31,WI,82.0
2018-01-31,WV,128.0
2018-01-31,WY,71.0
2018-02-28,AK,
2018-02-28,AL,61.0
2018-02-28,AR,95.0
2018-02-28,AZ,66.0
2018-02-28,CA,44.0
2018-02-28,CO,49.0
2018-02-28,CT,76.0
2018-02-28,DE,99.0
2018-02-28,FL,74.5
2018-02-28,GA,62.0
2018-02-28,HI,104.0
2018-02-28,IA,87.0
2018-02-28,ID,
2018-02-28,IL,125.0
2018-02-28,IN,72.0
2018-02-28,KS,88.0
2018-02-28,KY,75.5
2018-02-28,LA,93.0
2018-02-28,MA,69.0
2018-02-28,MD,96.5
2018-02-28,ME,76.0
2018-02-28,MI,79.5
2018-02-28,MN,86.5
2018-02-28,MO,107.0
2018-02-28,MS,110.5
2018-02-28,MT,
2018-02-28,NC,86.0
2018-02-28,ND,
2018-02-28,NE,60.5
2018-02-28,NH,76.0
2018-02-28,NJ,128.0
2018-02-28,NM,116.5
2018-02-28,NV,51.5
2018-02-28,NY,138.0
2018-02-28,OH,86.0
2018-02-28,OK,92.0
2018-02-28,OR,58.0
2018-02-28,PA,107.0
2018-02-28,RI,64.0
2018-02-28,SC,83.0
2018-02-28,SD,81.0
2018-02-28,TN,73.0
2018-02-28,TX,75.0
2018-02-28,UT,41.0
2018-02-28,VA,73.0
2018-02-28,WA,48.0
2018-02-28,WI,70.0
2018-02-28,WV,128.0
2018-02-28,WY,51.0
2018-03-31,AK,
2018-03-31,AL,56.5
2018-03-31,AR,66.0
2018-03-31,AZ,65.0
2018-03-31,CA,47.0
2018-03-31,CO,43.5
2018-03-31,CT,70.0
2018-03-31,DE,83.5
2018-03-31,FL,72.5
2018-03-31,GA,58.5
2018-03-31,HI,97.0
2018-03-31,IA,59.0
2018-03-31,ID,
2018-03-31,IL,78.0
2018-03-31,IN,63.0
2018-03-31,KS,62.5
2018-03-31,KY,64.5
2018-03-31,LA,94.0
2018-03-31,MA,63.0
2018-03-31,MD,85.0
2018-03-31,ME,60.0
2018-03-31,MI,58.5
2018-03-31,MN,64.0
2018-03-31,MO,75.5
2018-03-31,MS,78.5
2018-03-31,MT,
2018-03-31,NC,67.0
2018-03-31,ND,
2018-03-31,NE,54.0
2018-03-31,NH,55.0
2018-03-31,NJ,109.5
2018-03-31,NM,65.0
2018-03-31,NV,52.5
2018-03-31,NY,118.5
2018-03-31,OH,67.0
2018-03-31,OK,69.5
2018-03-31,OR,58.0
2018-03-31,PA,69.0
2018-03-31,RI,63.0
2018-03-31,SC,74.5
2018-03-31,SD,67.0
2018-03-31,TN,68.0
2018-03-31,TX,61.5
2018-03-31,UT,41.0
2018-03-31,VA,59.5
2018-03-31,WA,45.0
2018-03-31,WI,64.0
2018-03-31,WV,79.0
2018-03-31,WY,85.5
2018-04-30,AK,
2018-04-30,AL,63.5
2018-04-30,AR,70.0
2018-04-30,AZ,55.5
2018-04-30,CA,44.5
2018-04-30,CO,46.0
2018-04-30,CT,64.0
2018-04-30,DE,75.5
2018-04-30,FL,69.5
2018-04-30,GA,57.0
2018-04-30,HI,79.0
2018-04-30,IA,66.0
2018-04-30,ID,
2018-04-30,IL,65.0
2018-04-30,IN,50.0
2018-04-30,KS,54.0
2018-04-30,KY,61.5
2018-04-30,LA,80.0
2018-04-30,MA,57.0
2018-04-30,MD,74.0
2018-04-30,ME,59.0
2018-04-30,MI,54.5
2018-04-30,MN,61.5
2018-04-30,MO,63.5
2018-04-30,MS,94.0
2018-04-30,MT,
2018-04-30,NC,59.0
2018-04-30,ND,
2018-04-30,NE,49.5
2018-04-30,NH,53.0
2018-04-30,NJ,102.5
2018-04-30,NM,74.5
2018-04-30,NV,53.5
2018-04-30,NY,91.0
2018-04-30,OH,56.0
2018-04-30,OK,58.5
2018-04-30,OR,58.5
2018-04-30,PA,66.0
2018-04-30,RI,56.0
2018-04-30,SC,76.5
2018-04-30,SD,57.0
2018-04-30,TN,61.0
2018-04-30,TX,60.0
2018-04-30,UT,38.0
2018-04-30,VA,62.0
2018-04-30,WA,43.0
2018-04-30,WI,55.0
2018-04-30,WV,104.0
2018-04-30,WY,81.0
2018-05-31,AK,
2018-05-31,AL,63.5
2018-05-31,AR,61.5
2018-05-31,AZ,58.5
2018-05-31,CA,46.0
2018-05-31,CO,48.5
2018-05-31,CT,73.0
2018-05-31,DE,78.0
2018-05-31,FL,75.0
2018-05-31,GA,61.0
2018-05-31,HI,89.0
2018-05-31,IA,64.0
2018-05-31,ID,
2018-05-31,IL,72.0
2018-05-31,IN,51.0
2018-05-31,KS,59.0
2018-05-31,KY,59.5
2018-05-31,LA,85.0
2018-05-31,MA,58.0
2018-05-31,MD,66.0
2018-05-31,ME,56.0
2018-05-31,MI,50.5
2018-05-31,MN,56.0
2018-05-31,MO,63.5
2018-05-31,MS,66.0
2018-05-31,MT,
2018-05-31,NC,59.0
2018-05-31,ND,
2018-05-31,NE,55.5
2018-05-31,NH,55.0
2018-05-31,NJ,108.0
2018-05-31,NM,63.5
2018-05-31,NV,46.5
2018-05-31,NY,86.0
2018-05-31,OH,61.5
2018-05-31,OK,58.0
2018-05-31,OR,56.0
2018-05-31,PA,72.0
2018-05-31,RI,57.0
2018-05-31,SC,73.5
2018-05-31,SD,58.0
2018-05-31,TN,56.0
2018-05-31,TX,62.0
2018-05-31,UT,44.0
2018-05-31,VA,61.0
2018-05-31,WA,45.0
2018-05-31,WI,56.0
2018-05-31,WV,71.0
2018-05-31,WY,51.0
2018-06-30,AK,
2018-06-30,AL,59.5
2018-06-30,AR,71.5
2018-06-30,AZ,64.5
2018-06-30,CA,50.5
2018-06-30,CO,48.0
2018-06-30,CT,75.0
2018-06-30,DE,89.0
2018-06-30,FL,80.0
2018-06-30,GA,54.0
2018-06-30,HI,79.0
2018-06-30,IA,63.0
2018-06-30,ID,
2018-06-30,IL,68.0
2018-06-30,IN,61.5
2018-06-30,KS,55.5
2018-06-30,KY,58.5
2018-06-30,LA,74.0
2018-06-30,MA,64.0
2018-06-30,MD,66.0
2018-06-30,ME,61.0
2018-06-30,MI,55.5
2018-06-30,MN,60.0
2018-06-30,MO,66.0
2018-06-30,MS,86.0
2018-06-30,MT,
2018-06-30,NC,69.0
2018-06-30,ND,
2018-06-30,NE,62.0
2018-06-30,NH,59.0
2018-06-30,NJ,102.0
2018-06-30,NM,60.5
2018-06-30,NV,44.5
2018-06-30,NY,90.5
2018-06-30,OH,64.0
2018-06-30,OK,66.0
2018-06-30,OR,61.5
2018-06-30,PA,71.5
2018-06-30,RI,63.0
2018-06-30,SC,66.5
2018-06-30,SD,62.0
2018-06-30,TN,62.0
2018-06-30,TX,64.5
2018-06-30,UT,39.0
2018-06-30,VA,64.0
2018-06-30,WA,47.0
2018-06-30,WI,59.0
2018-06-30,WV,80.0
2018-06-30,WY,53.5
2018-07-31,AK,
2018-07-31,AL,65.5
2018-07-31,AR,70.5
2018-07-31,AZ,70.0
2018-07-31,CA,51.5
2018-07-31,CO,50.0
2018-07-31,CT,77.0
2018-07-31,DE,86.0
2018-07-31,FL,73.0
2018-07-31,GA,55.0
2018-07-31,HI,95.0
2018-07-31,IA,64.0
2018-07-31,ID,
2018-07-31,IL,73.0
2018-07-31,IN,60.5
2018-07-31,KS,63.0
2018-07-31,KY,62.0
2018-07-31,LA,83.0
2018-07-31,MA,66.0
2018-07-31,MD,80.0
2018-07-31,ME,62.0
2018-07-31,MI,63.5
2018-07-31,MN,63.5
2018-07-31,MO,62.5
2018-07-31,MS,79.0
2018-07-31,MT,
2018-07-31,NC,68.0
2018-07-31,ND,
2018-07-31,NE,58.0
2018-07-31,NH,60.0
2018-07-31,NJ,97.5
2018-07-31,NM,62.5
2018-07-31,NV,50.0
2018-07-31,NY,98.5
2018-07-31,OH,61.0
2018-07-31,OK,76.0
2018-07-31,OR,60.5
2018-07-31,PA,70.5
2018-07-31,RI,68.0
2018-07-31,SC,72.0
2018-07-31,SD,70.0
2018-07-31,TN,63.0
2018-07-31,TX,65.5
2018-07-31,UT,43.0
2018-07-31,VA,61.0
2018-07-31,WA,51.0
2018-07-31,WI,57.0
2018-07-31,WV,88.0
2018-07-31,WY,59.0
2018-08-31,AK,
2018-08-31,AL,70.5
2018-08-31,AR,72.0
2018-08-31,AZ,64.0
2018-08-31,CA,52.5
2018-08-31,CO,55.0
2018-08-31,CT,91.0
2018-08-31,DE,97.5
2018-08-31,FL,76.5
2018-08-31,GA,65.0
2018-08-31,HI,86.0
2018-08-31,IA,67.0
2018-08-31,ID,
2018-08-31,IL,75.0
2018-08-31,IN,61.5
2018-08-31,KS,65.5
2018-08-31,KY,71.5
2018-08-31,LA,82.5
2018-08-31,MA,68.0
2018-08-31,MD,77.0
2018-08-31,ME,66.0
2018-08-31,MI,62.0
2018-08-31,MN,69.5
2018-08-31,MO,73.0
2018-08-31,MS,98.0
2018-08-31,MT,
2018-08-31,NC,66.0
2018-08-31,ND,
2018-08-31,NE,59.0
2018-08-31,NH,81.0
2018-08-31,NJ,112.5
2018-08-31,NM,64.5
2018-08-31,NV,55.0
2018-08-31,NY,93.0
2018-08-31,OH,68.5
2018-08-31,OK,72.0
2018-08-31,OR,67.0
2018-08-31,PA,72.5
2018-08-31,RI,69.0
2018-08-31,SC,72.0
2018-08-31,SD,61.0
2018-08-31,TN,64.0
2018-08-31,TX,67.0
2018-08-31,UT,43.0
2018-08-31,VA,72.0
2018-08-31,WA,50.0
2018-08-31,WI,66.0
2018-08-31,WV,111.0
2018-08-31,WY,67.5
2018-09-30,AK,
2018-09-30,AL,68.5
2018-09-30,AR,93.0
2018-09-30,AZ,68.5
2018-09-30,CA,58.0
2018-09-30,CO,64.0
2018-09-30,CT,89.0
2018-09-30,DE,92.5
2018-09-30,FL,77.5
2018-09-30,GA,64.0
2018-09-30,HI,82.0
2018-09-30,IA,70.0
2018-09-30,ID,
2018-09-30,IL,85.0
2018-09-30,IN,58.5
2018-09-30,KS,66.0
2018-09-30,KY,75.0
2018-09-30,LA,88.0
2018-09-30,MA,73.0
2018-09-30,MD,77.0
2018-09-30,ME,76.0
2018-09-30,MI,70.5
2018-09-30,MN,71.0
2018-09-30,MO,75.5
2018-09-30,MS,100.0
2018-09-30,MT,
2018-09-30,NC,76.0
2018-09-30,ND,
2018-09-30,NE,66.5
2018-09-30,NH,89.0
2018-09-30,NJ,102.0
2018-09-30,NM,70.0
2018-09-30,NV,59.0
2018-09-30,NY,113.0
2018-09-30,OH,73.5
2018-09-30,OK,85.0
2018-09-30,OR,73.5
2018-09-30,PA,74.0
2018-09-30,RI,81.0
2018-09-30,SC,81.0
2018-09-30,SD,68.0
2018-09-30,TN,72.0
2018-09-30,TX,71.5
2018-09-30,UT,50.0
2018-09-30,VA,71.0
2018-09-30,WA,52.0
2018-09-30,WI,63.0
2018-09-30,WV,114.0
2018-09-30,WY,86.0
2018-10-31,AK,
2018-10-31,AL,79.0
2018-10-31,AR,82.5
2018-10-31,AZ,73.5
2018-10-31,CA,60.0
2018-10-31,CO,66.5
2018-10-31,CT,91.0
2018-10-31,DE,89.0
2018-10-31,FL,76.5
2018-10-31,GA,66.0
2018-10-31,HI,89.0
2018-10-31,IA,76.0
2018-10-31,ID,
2018-10-31,IL,88.0
2018-10-31,IN,64.5
2018-10-31,KS,71.0
2018-10-31,KY,73.5
2018-10-31,LA,86.5
2018-10-31,MA,73.0
2018-10-31,MD,84.5
2018-10-31,ME,70.0
2018-10-31,MI,65.5
2018-10-31,MN,78.5
2018-10-31,MO,70.5
2018-10-31,MS,90.0
2018-10-31,MT,
2018-10-31,NC,86.0
2018-10-31,ND,
2018-10-31,NE,56.5
2018-10-31,NH,71.0
2018-10-31,NJ,112.5
2018-10-31,NM,79.0
2018-10-31,NV,61.0
2018-10-31,NY,111.0
2018-10-31,OH,75.5
2018-10-31,OK,97.0
2018-10-31,OR,76.5
2018-10-31,PA,78.5
2018-10-31,RI,71.0
2018-10-31,SC,90.0
2018-10-31,SD,74.0
2018-10-31,TN,67.0
2018-10-31,TX,73.0
2018-10-31,UT,53.0
2018-10-31,VA,77.0
2018-10-31,WA,57.0
2018-10-31,WI,68.0
2018-10-31,WV,109.0
2018-10-31,WY,81.5
2018-11-30,AK,
2018-11-30,AL,86.5
2018-11-30,AR,97.0
2018-11-30,AZ,85.0
2018-11-30,CA,62.0
2018-11-30,CO,74.0
2018-11-30,CT,99.0
2018-11-30,DE,97.5
2018-11-30,FL,81.5
2018-11-30,GA,68.5
2018-11-30,HI,78.0
2018-11-30,IA,89.5
2018-11-30,ID,
2018-11-30,IL,98.0
2018-11-30,IN,67.0
2018-11-30,KS,74.0
2018-11-30,KY,93.5
2018-11-30,LA,114.0
2018-11-30,MA,79.0
2018-11-30,MD,90.5
2018-11-30,ME,93.0
2018-11-30,MI,81.0
2018-11-30,MN,79.0
2018-11-30,MO,80.5
2018-11-30,MS,101.0
2018-11-30,MT,
2018-11-30,NC,75.5
2018-11-30,ND,
2018-11-30,NE,91.5
2018-11-30,NH,85.0
2018-11-30,NJ,98.5
2018-11-30,NM,76.0
2018-11-30,NV,71.0
2018-11-30,NY,116.0
2018-11-30,OH,67.5
2018-11-30,OK,82.0
2018-11-30,OR,77.5
2018-11-30,PA,83.0
2018-11-30,RI,86.0
2018-11-30,SC,80.0
2018-11-30,SD,88.0
2018-11-30,TN,78.0
2018-11-30,TX,81.5
2018-11-30,UT,56.0
2018-11-30,VA,82.0
2018-11-30,WA,65.0
2018-11-30,WI,83.0
2018-11-30,WV,91.0
2018-11-30,WY,93.0
2018-12-31,AK,
2018-12-31,AL,85.5
2018-12-31,AR,103.0
2018-12-31,AZ,73.5
2018-12-31,CA,74.0
2018-12-31,CO,80.5
2018-12-31,CT,109.0
2018-12-31,DE,104.0
2018-12-31,FL,86.0
2018-12-31,GA,75.0
2018-12-31,HI,81.0
2018-12-31,IA,99.5
2018-12-31,ID,
2018-12-31,IL,106.0
2018-12-31,IN,96.0
2018-12-31,KS,82.0
2018-12-31,KY,94.0
2018-12-31,LA,113.5
2018-12-31,MA,84.0
2018-12-31,MD,107.5
2018-12-31,ME,104.0
2018-12-31,MI,88.5
2018-12-31,MN,97.0
2018-12-31,MO,80.0
2018-12-31,MS,128.0
2018-12-31,MT,
2018-12-31,NC,82.0
2018-12-31,ND,
2018-12-31,NE,92.5
2018-12-31,NH,90.0
2018-12-31,NJ,141.0
2018-12-31,NM,104.5
2018-12-31,NV,72.5
2018-12-31,NY,125.0
2018-12-31,OH,91.0
2018-12-31,OK,102.0
2018-12-31,OR,80.0
2018-12-31,PA,94.0
2018-12-31,RI,90.0
2018-12-31,SC,98.0
2018-12-31,SD,99.0
2018-12-31,TN,75.0
2018-12-31,TX,80.5
2018-12-31,UT,60.0
2018-12-31,VA,88.0
2018-12-31,WA,76.0
2018-12-31,WI,91.0
2018-12-31,WV,85.0
2018-12-31,WY,94.5
2019-01-31,AK,
2019-01-31,AL,104.5
2019-01-31,AR,114.0
2019-01-31,AZ,84.5
2019-01-31,CA,74.0
2019-01-31,CO,85.0
2019-01-31,CT,116.0
2019-01-31,DE,120.5
2019-01-31,FL,89.0
2019-01-31,GA,76.5
2019-01-31,HI,100.0
2019-01-31,IA,104.5
2019-01-31,ID,
2019-01-31,IL,124.0
2019-01-31,IN,104.5
2019-01-31,KS,99.5
2019-01-31,KY,95.5
2019-01-31,LA,122.0
2019-01-31,MA,101.0
2019-01-31,MD,109.5
2019-01-31,ME,123.0
2019-01-31,MI,96.5
2019-01-31,MN,103.0
2019-01-31,MO,110.0
2019-01-31,MS,130.0
2019-01-31,MT,
2019-01-31,NC,86.0
2019-01-31,ND,
2019-01-31,NE,79.0
2019-01-31,NH,93.0
2019-01-31,NJ,131.0
2019-01-31,NM,98.5
2019-01-31,NV,81.5
2019-01-31,NY,139.5
2019-01-31,OH,88.5
2019-01-31,OK,103.0
2019-01-31,OR,91.0
2019-01-31,PA,103.0
2019-01-31,RI,99.0
2019-01-31,SC,108.0
2019-01-31,SD,85.0
2019-01-31,TN,83.0
2019-01-31,TX,87.0
2019-01-31,UT,62.0
2019-01-31,VA,106.0
2019-01-31,WA,75.0
2019-01-31,WI,94.0
2019-01-31,WV,106.0
2019-01-31,WY,79.5
2019-02-28,AK,
2019-02-28,AL,89.0
2019-02-28,AR,88.0
2019-02-28,AZ,67.0
2019-02-28,CA,57.0
2019-02-28,CO,55.5
2019-02-28,CT,81.0
2019-02-28,DE,94.0
2019-02-28,FL,73.5
2019-02-28,GA,63.5
2019-02-28,HI,89.0
2019-02-28,IA,105.5
2019-02-28,ID,
2019-02-28,IL,116.5
2019-02-28,IN,77.0
2019-02-28,KS,68.5
2019-02-28,KY,92.5
2019-02-28,LA,101.5
2019-02-28,MA,69.0
2019-02-28,MD,81.0
2019-02-28,ME,94.0
2019-02-28,MI,79.0
2019-02-28,MN,81.0
2019-02-28,MO,95.0
2019-02-28,MS,109.0
2019-02-28,MT,
2019-02-28,NC,60.5
2019-02-28,ND,
2019-02-28,NE,103.5
2019-02-28,NH,64.0
2019-02-28,NJ,101.5
2019-02-28,NM,77.5
2019-02-28,NV,64.0
2019-02-28,NY,143.0
2019-02-28,OH,74.0
2019-02-28,OK,103.0
2019-02-28,OR,64.0
2019-02-28,PA,80.5
2019-02-28,RI,84.0
2019-02-28,SC,71.0
2019-02-28,SD,61.0
2019-02-28,TN,65.5
2019-02-28,TX,70.0
2019-02-28,UT,48.0
2019-02-28,VA,81.0
2019-02-28,WA,55.0
2019-02-28,WI,64.0
2019-02-28,WV,108.0
2019-02-28,WY,63.0
2019-03-31,AK,
2019-03-31,AL,59.0
2019-03-31,AR,77.5
2019-03-31,AZ,64.5
2019-03-31,CA,50.0
2019-03-31,CO,59.5
2019-03-31,CT,71.0
2019-03-31,DE,71.5
2019-03-31,FL,76.0
2019-03-31,GA,55.0
2019-03-31,HI,89.0
2019-03-31,IA,76.5
2019-03-31,ID,
2019-03-31,IL,85.5
2019-03-31,IN,55.5
2019-03-31,KS,59.5
2019-03-31,KY,75.0
2019-03-31,LA,87.0
2019-03-31,MA,59.0
2019-03-31,MD,65.5
2019-03-31,ME,86.5
2019-03-31,MI,59.5
2019-03-31,MN,62.0
2019-03-31,MO,66.5
2019-03-31,MS,92.0
2019-03-31,MT,
2019-03-31,NC,59.5
2019-03-31,ND,
2019-03-31,NE,56.0
2019-03-31,NH,69.0
2019-03-31,NJ,89.0
2019-03-31,NM,68.0
2019-03-31,NV,57.0
2019-03-31,NY,128.0
2019-03-31,OH,67.0
2019-03-31,OK,73.5
2019-03-31,OR,61.0
2019-03-31,PA,75.0
2019-03-31,RI,64.0
2019-03-31,SC,76.0
2019-03-31,SD,66.0
2019-03-31,TN,64.0
2019-03-31,TX,62.5
2019-03-31,UT,43.0
2019-03-31,VA,65.0
2019-03-31,WA,43.0
2019-03-31,WI,58.5
2019-03-31,WV,91.0
2019-03-31,WY,70.0
2019-04-30,AK,
2019-04-30,AL,64.0
2019-04-30,AR,71.5
2019-04-30,AZ,56.5
2019-04-30,CA,47.0
2019-04-30,CO,51.5
2019-04-30,CT,67.0
2019-04-30,DE,76.0
2019-04-30,FL,76.5
2019-04-30,GA,60.0
2019-04-30,HI,101.0
2019-04-30,IA,61.0
2019-04-30,ID,
2019-04-30,IL,63.5
2019-04-30,IN,55.0
2019-04-30,KS,50.5
2019-04-30,KY,65.5
2019-04-30,LA,92.5
2019-04-30,MA,56.0
2019-04-30,MD,61.0
2019-04-30,ME,66.5
2019-04-30,MI,50.5
2019-04-30,MN,53.0
2019-04-30,MO,61.0
2019-04-30,MS,88.0
2019-04-30,MT,43.0
2019-04-30,NC,52.5
2019-04-30,ND,
2019-04-30,NE,66.0
2019-04-30,NH,50.0
2019-04-30,NJ,97.0
2019-04-30,NM,62.0
2019-04-30,NV,53.0
2019-04-30,NY,89.0
2019-04-30,OH,60.0
2019-04-30,OK,65.0
2019-04-30,OR,56.0
2019-04-30,PA,59.0
2019-04-30,RI,58.0
2019-04-30,SC,70.0
2019-04-30,SD,55.0
2019-04-30,TN,56.0
2019-04-30,TX,63.0
2019-04-30,UT,42.0
2019-04-30,VA,56.0
2019-04-30,WA,40.0
2019-04-30,WI,56.0
2019-04-30,WV,84.0
2019-04-30,WY,62.5
2019-05-31,AK,
2019-05-31,AL,67.0
2019-05-31,AR,74.5
2019-05-31,AZ,60.0
2019-05-31,CA,50.0
2019-05-31,CO,55.0
2019-05-31,CT,69.0
2019-05-31,DE,76.0
2019-05-31,FL,78.5
2019-05-31,GA,61.0
2019-05-31,HI,84.0
2019-05-31,IA,59.0
2019-05-31,ID,
2019-05-31,IL,68.0
2019-05-31,IN,50.5
2019-05-31,KS,55.0
2019-05-31,KY,67.0
2019-05-31,LA,94.5
2019-05-31,MA,57.0
2019-05-31,MD,64.5
2019-05-31,ME,52.5
2019-05-31,MI,50.0
2019-05-31,MN,59.5
2019-05-31,MO,60.5
2019-05-31,MS,93.0
2019-05-31,MT,49.0
2019-05-31,NC,53.5
2019-05-31,ND,
2019-05-31,NE,53.5
2019-05-31,NH,48.0
2019-05-31,NJ,90.5
2019-05-31,NM,54.5
2019-05-31,NV,54.0
2019-05-31,NY,89.0
2019-05-31,OH,62.0
2019-05-31,OK,76.5
2019-05-31,OR,52.0
2019-05-31,PA,61.5
2019-05-31,RI,59.0
2019-05-31,SC,76.0
2019-05-31,SD,61.0
2019-05-31,TN,53.5
2019-05-31,TX,66.0
2019-05-31,UT,44.0
2019-05-31,VA,60.0
2019-05-31,WA,43.0
2019-05-31,WI,48.0
2019-05-31,WV,88.0
2019-05-31,WY,63.0
2019-06-30,AK,
2019-06-30,AL,66.0
2019-06-30,AR,65.5
2019-06-30,AZ,64.0
2019-06-30,CA,52.5
2019-06-30,CO,52.0
2019-06-30,CT,70.0
2019-06-30,DE,79.5
2019-06-30,FL,79.5
2019-06-30,GA,57.5
2019-06-30,HI,90.0
2019-06-30,IA,63.0
2019-06-30,ID,
2019-06-30,IL,71.5
2019-06-30,IN,57.5
2019-06-30,KS,61.5
2019-06-30,KY,67.5
2019-06-30,LA,83.5
2019-06-30,MA,59.0
2019-06-30,MD,71.5
2019-06-30,ME,56.5
2019-06-30,MI,55.5
2019-06-30,MN,57.0
2019-06-30,MO,62.5
2019-06-30,MS,89.0
2019-06-30,MT,55.0
2019-06-30,NC,57.0
2019-06-30,ND,
2019-06-30,NE,60.5
2019-06-30,NH,53.0
2019-06-30,NJ,106.5
2019-06-30,NM,62.5
2019-06-30,NV,60.5
2019-06-30,NY,91.0
2019-06-30,OH,65.0
2019-06-30,OK,69.0
2019-06-30,OR,58.0
2019-06-30,PA,70.0
2019-06-30,RI,67.0
2019-06-30,SC,66.0
2019-06-30,SD,60.0
2019-06-30,TN,56.0
2019-06-30,TX,66.0
2019-06-30,UT,47.0
2019-06-30,VA,63.0
2019-06-30,WA,47.0
2019-06-30,WI,64.0
2019-06-30,WV,67.0
2019-06-30,WY,61.0
2019-07-31,AK,
2019-07-31,AL,67.0
2019-07-31,AR,69.5
2019-07-31,AZ,63.5
2019-07-31,CA,55.0
2019-07-31,CO,54.0
2019-07-31,CT,85.0
2019-07-31,DE,87.5
2019-07-31,FL,79.5
2019-07-31,GA,58.0
2019-07-31,HI,96.0
2019-07-31,IA,67.5
2019-07-31,ID,
2019-07-31,IL,73.0
2019-07-31,IN,58.0
2019-07-31,KS,55.0
2019-07-31,KY,72.0
2019-07-31,LA,88.5
2019-07-31,MA,61.0
2019-07-31,MD,73.0
2019-07-31,ME,61.0
2019-07-31,MI,59.5
2019-07-31,MN,63.5
2019-07-31,MO,61.0
2019-07-31,MS,92.0
2019-07-31,MT,64.0
2019-07-31,NC,61.0
2019-07-31,ND,
2019-07-31,NE,58.0
2019-07-31,NH,52.0
2019-07-31,NJ,95.0
2019-07-31,NM,63.5
2019-07-31,NV,60.5
2019-07-31,NY,99.0
2019-07-31,OH,68.0
2019-07-31,OK,71.0
2019-07-31,OR,58.0
2019-07-31,PA,70.0
2019-07-31,RI,70.0
2019-07-31,SC,69.0
2019-07-31,SD,61.0
2019-07-31,TN,61.0
2019-07-31,TX,67.5
2019-07-31,UT,48.0
2019-07-31,VA,62.0
2019-07-31,WA,50.0
2019-07-31,WI,64.0
2019-07-31,WV,72.0
2019-07-31,WY,66.0
2019-08-31,AK,
2019-08-31,AL,68.0
